  9809     SPring-8 14b2 
 Fe-K_Fe3N_Si11  12.11.17 12:54 - 12.11.17 12:58
 Fe3N                                                                            
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.09994 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4522
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.00000  13.20000    -0.000840       0.05      4522
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   481.200   358.400
  16.59512  16.60484     0.051     12083      8274
  16.59428  16.60392     0.051     12095      8279
  16.59344  16.60304     0.051     12090      8283
  16.59260  16.60221     0.051     12094      8289
  16.59176  16.60139     0.051     12094      8294
  16.59092  16.60063     0.051     12095      8296
  16.59008  16.59992     0.051     12098      8302
  16.58924  16.59920     0.051     12094      8303
  16.58840  16.59846     0.051     12104      8313
  16.58756  16.59768     0.051     12097      8315
  16.58672  16.59679     0.051     12106      8317
  16.58588  16.59586     0.051     12105      8322
  16.58504  16.59497     0.051     12109      8326
  16.58420  16.59404     0.051     12113      8335
  16.58336  16.59313     0.051     12105      8332
  16.58252  16.59229     0.051     12117      8342
  16.58168  16.59146     0.051     12112      8337
  16.58084  16.59069     0.051     12122      8348
  16.58000  16.58998     0.051     12124      8352
  16.57916  16.58927     0.051     12121      8354
  16.57832  16.58853     0.051     12128      8358
  16.57748  16.58776     0.051     12125      8364
  16.57664  16.58689     0.051     12140      8371
  16.57580  16.58596     0.051     12127      8370
  16.57496  16.58507     0.051     12136      8377
  16.57412  16.58415     0.051     12134      8379
  16.57328  16.58325     0.051     12133      8383
  16.57244  16.58241     0.051     12140      8386
  16.57160  16.58159     0.051     12132      8389
  16.57076  16.58081     0.051     12146      8400
  16.56992  16.58010     0.051     12134      8401
  16.56908  16.57939     0.051     12141      8408
  16.56824  16.57865     0.051     12148      8411
  16.56740  16.57790     0.051     12146      8416
  16.56656  16.57705     0.051     12152      8424
  16.56572  16.57612     0.051     12147      8423
  16.56488  16.57522     0.051     12159      8429
  16.56404  16.57431     0.051     12150      8429
  16.56320  16.57340     0.051     12160      8440
  16.56236  16.57256     0.051     12159      8441
  16.56152  16.57173     0.051     12159      8443
  16.56068  16.57093     0.051     12169      8458
  16.55984  16.57021     0.051     12161      8454
  16.55900  16.56950     0.051     12179      8465
  16.55816  16.56876     0.051     12166      8462
  16.55732  16.56800     0.051     12177      8472
  16.55648  16.56716     0.051     12175      8473
  16.55564  16.56623     0.051     12177      8475
  16.55480  16.56532     0.051     12184      8488
  16.55396  16.56440     0.051     12178      8486
  16.55312  16.56349     0.051     12190      8496
  16.55228  16.56263     0.051     12178      8494
  16.55144  16.56180     0.051     12192      8503
  16.55060  16.56100     0.051     12193      8510
  16.54976  16.56028     0.051     12190      8510
  16.54892  16.55958     0.051     12196      8519
  16.54808  16.55884     0.051     12194      8520
  16.54724  16.55809     0.051     12205      8525
  16.54640  16.55727     0.051     12201      8528
  16.54556  16.55635     0.051     12210      8539
  16.54472  16.55544     0.051     12209      8542
  16.54388  16.55454     0.051     12206      8542
  16.54304  16.55362     0.051     12220      8552
  16.54220  16.55276     0.051     12212      8555
  16.54136  16.55194     0.051     12226      8564
  16.54052  16.55113     0.051     12216      8563
  16.53968  16.55039     0.051     12224      8572
  16.53884  16.54969     0.051     12224      8575
  16.53800  16.54896     0.051     12218      8574
  16.53716  16.54821     0.051     12228      8585
  16.53632  16.54742     0.051     12223      8584
  16.53548  16.54652     0.051     12238      8597
  16.53464  16.54560     0.051     12228      8597
  16.53380  16.54471     0.051     12237      8600
  16.53296  16.54379     0.051     12240      8606
  16.53212  16.54290     0.051     12233      8605
  16.53128  16.54207     0.051     12246      8617
  16.53044  16.54125     0.051     12242      8619
  16.52960  16.54050     0.051     12254      8629
  16.52876  16.53979     0.051     12248      8630
  16.52792  16.53906     0.051     12256      8634
  16.52708  16.53830     0.051     12262      8642
  16.52624  16.53751     0.051     12256      8643
